iter	Logloss
0	0.6637110138
1	0.6315795135
2	0.6039735413
3	0.580208931
4	0.5553531647
5	0.5318811417
6	0.5113868713
7	0.4907941055
8	0.4750118256
9	0.4595541382
10	0.4417689514
11	0.4308664703
12	0.4190799713
13	0.4060663605
14	0.3959277344
15	0.3831714249
16	0.3731351852
17	0.3635345459
18	0.3551439667
19	0.3478443146
20	0.3370159912
21	0.3284298706
22	0.320521431
23	0.3140169907
24	0.3072935677
25	0.3016559982
26	0.2931262398
27	0.2865057373
28	0.2805379105
29	0.2763879395
30	0.2715509224
31	0.2654317093
32	0.261918869
33	0.2567325592
34	0.2529487991
35	0.2491942215
36	0.2449359894
37	0.239804039
38	0.2357111549
39	0.230548687
40	0.2283787155
41	0.2234610748
42	0.2192684937
43	0.2162700653
44	0.2133239746
45	0.2098801422
46	0.2070500946
47	0.2035942459
48	0.2010538292
49	0.197206955
50	0.1934026718
51	0.1909242249
52	0.1881688309
53	0.1868697739
54	0.1840765762
55	0.1822422028
56	0.1806517792
57	0.1778069687
58	0.1760056686
59	0.1750557899
60	0.1721844292
61	0.1698218346
62	0.16820961
63	0.1665845299
64	0.1638464737
65	0.1612335205
66	0.1603405762
67	0.158544693
68	0.1569668484
69	0.1555328941
70	0.153974123
71	0.1523626232
72	0.1502040482
73	0.1485460186
74	0.1469053936
75	0.146335125
76	0.1448970222
77	0.1441267586
78	0.1421730804
79	0.1405303288
80	0.1394282532
81	0.1382014656
82	0.1373761559
83	0.1358622932
84	0.134505024
85	0.1337072754
86	0.1325834751
87	0.1306058216
88	0.1300114918
89	0.1289921379
90	0.1280233383
91	0.1270206738
92	0.1259635925
93	0.1244655037
94	0.1235091591
95	0.1218754768
96	0.1203152275
97	0.1196737385
98	0.1185193634
99	0.117635479
100	0.1167961311
101	0.1155802536
102	0.1149393177
103	0.1138507175
104	0.1129894638
105	0.1118925095
106	0.110710392
107	0.1098806763
108	0.1092201233
109	0.1085600185
110	0.1075810432
111	0.1064882469
112	0.1058553219
113	0.1050077057
114	0.1044825363
115	0.1033806038
116	0.1023654556
117	0.1013178635
118	0.1005002117
119	0.0996667099
120	0.09869045258
121	0.09800810814
122	0.09721000671
123	0.09634372711
124	0.09570453644
125	0.09464412689
126	0.09332659721
127	0.09271668434
128	0.09197546005
129	0.09143541336
130	0.09116174698
131	0.09008794785
132	0.08913261414
133	0.08846866608
134	0.08763141632
135	0.08693798065
136	0.08586603165
137	0.08499679565
138	0.08428889275
139	0.08337654114
140	0.08289783478
141	0.082501688
142	0.08168408394
143	0.08140195847
144	0.08072107315
145	0.08025556564
146	0.07955951691
147	0.07862634182
148	0.07823379993
149	0.07758007526
150	0.07699603558
151	0.07652019501
152	0.07544550419
153	0.07473806381
154	0.07405189991
155	0.07320397854
156	0.07235049248
157	0.07219508171
158	0.07174726009
159	0.07085328579
160	0.07003646851
161	0.06983036995
162	0.06922973156
163	0.06891684055
164	0.06831712246
165	0.06790060043
166	0.06734632969
167	0.06693822384
168	0.06627489567
169	0.06613227844
170	0.06594320774
171	0.06554687023
172	0.0652600956
173	0.06440436363
174	0.06392413139
175	0.06347486973
176	0.06311332226
177	0.06263274193
178	0.06220311165
179	0.06163018227
180	0.06135910034
181	0.06119084358
182	0.06101313591
183	0.06031018257
184	0.06012332439
185	0.05982671261
186	0.05907254219
187	0.05838810444
188	0.05785636902
189	0.05737728119
190	0.057102952
191	0.05694416046
192	0.05645334721
193	0.05596801281
194	0.0557287693
195	0.05516396523
196	0.05464230537
197	0.05457729816
198	0.05421599865
199	0.05396228313
