 sin |       lat        |       lon        
 03T |       23.6103113 |       87.2272182
 02A |        22.442132 |       88.2974115
 04L |       22.6081572 |       88.4569801
 05E |       26.3958753 |       89.8574803
 820 |        22.543016 |        88.518857
 01Z | 22.5019366396693 | 88.5478641092777
 05A |       24.2420263 |       87.8882436
 04R |       23.0912351 |       87.6862446
 05L |       22.6470108 |       87.7398947
 034 |       22.6691083 |       88.4376433
 043 |       22.6095242 |        88.305142
 041 |       22.6361746 |       88.3023229
 003 |       22.2138064 |        88.280144
 006 |       22.2749306 |       88.2214642
 349 |       22.9563122 |       88.5726648
 346 |       23.0819334 |       88.5460281
 350 |       22.9798253 |       88.4480356
 510 |       23.0271667 |        88.587623
 348 |       22.9576289 |       88.5230074
 462 |       22.4917817 |       88.5181283
 054 |       22.5630954 |       88.1593902
 538 |        22.571193 |       88.1758657
 056 |       22.5711405 |       88.1767094
 467 |       22.4153976 |        87.978402
 053 |       22.4763997 |        88.090935
 055 |       22.4773768 |       88.0427314
 059 |       22.6660887 |       88.3994103
 061 |       22.7480214 |       88.3815621
 063 |       22.7710142 |       88.3909952
 039 |       22.7009346 |        88.436087
 581 |       23.8444334 |       87.5949543
 187 |       23.9791772 |       87.5992167
 172 |       23.8309892 |       87.4550635
 399 |       26.4612663 |       89.7188283
 344 |       23.1630064 |       88.5571795
 424 |       26.8576728 |        88.623623
 007 |       21.8845329 |       88.1909185
 687 |       21.7932881 |        88.361983
 420 |       26.8752183 |       88.8038683
 469 |       21.7710703 |       88.2364059
 362 |        23.267112 |       88.4367446
 700 |       26.7428112 |       88.5669253
 371 |       23.7376826 |       88.5266824
 368 |         23.97759 |       88.6237534
 480 |       23.8037574 |       88.4776478
 366 |       23.5268197 |       88.5621752
 369 |       23.5989425 |       88.3705341
 014 |        22.417843 |       88.6680566
 698 |       22.1690773 |       88.8017145
 776 |       22.6261575 |       88.2758935
 310 |       25.0371664 |       88.1250556
 042 |       22.6260396 |       88.3272735
 669 |        22.495615 |        88.837825
 086 |       22.8353422 |       88.8672649
 044 |       22.5949441 |         88.26689
 449 |       24.4236674 |       87.9160856
 191 |       24.2799593 |        87.839923
 052 |       22.4671976 |       87.9580161
 618 |       22.7664181 |       88.3895444
 472 |       22.2061498 |       88.7138974
 739 |       26.5052784 |       89.1222152
 727 |       22.7764525 |        88.752088
 303 |       23.4110195 |       86.1963054
 068 |       22.7384427 |       88.4625372
 067 |       22.7493775 |       88.4347755
 360 |       23.3972743 |        88.474091
 287 |       23.1899252 |       86.0536118
 136 |       23.2223417 |         87.90007
 142 |       23.2635603 |       87.8381344
 143 |       23.2150233 |         87.86326
 307 |       25.0162989 |       88.2874084
 312 |       25.0686228 |       88.1423007
 046 |       22.6171362 |       88.2514001
 137 |       23.2735683 |       87.8753333
 091 |       22.8397562 |       88.3861789
 089 |       22.9313617 |       88.4541521
 095 |       22.8617223 |       88.4295576
 665 |       22.5683418 |       88.1062202
 051 |       22.3046672 |       87.9735466
 047 |       22.6888029 |       87.9741681
 048 |       22.6567064 |        88.086513
 481 |       22.5934115 |       88.2034193
 485 |       21.7267927 |       88.1052018
 794 |       21.6885676 |       88.2430639
 536 |        22.584835 |       88.2170227
 186 |        24.166342 |       87.7860822
 345 |       23.2415161 |       88.6202908
 347 |       23.1147125 |       88.6258457
 045 |       22.5954833 |       88.2189646
 306 |       25.1454107 |       88.3726027
 180 |       23.8296419 |       87.6947579
 176 |       23.6357383 |       87.5498317
 184 |       23.6695763 |       87.6466284
 777 |       22.6014638 |       88.2316746
 183 |       23.7926908 |       87.2712904
 314 |       25.2103938 |       87.9361785
 290 |        23.044184 |       86.3600093
 178 |        23.815515 |       87.8173733
 193 |       24.1598103 |       87.7435932
 188 |       24.0750181 |       87.7298819
 174 |       23.6694967 |       87.6984283
 308 |       25.4258147 |       87.8793284
 177 |       23.9173488 |       87.5153842
 173 |       23.7435758 |       87.2808534
 201 |       23.8789113 |       87.5131477
 175 |       23.7907765 |       87.3886228
 552 |       23.9399011 |       87.3232403
 082 |       22.6907413 |       88.7626988
 659 |       23.1053647 |        86.229569
 084 |       22.6110317 |       88.6827153
 266 |       23.1997338 |       87.0405791
 264 |       23.2459935 |       87.0418758
 263 |       23.1520567 |       86.9274383
 083 |       22.6782212 |       88.8371131
 011 |       22.2436895 |       88.0934852
 010 |       22.2549588 |       88.0940746
 277 |       23.2037102 |       87.5279375
 315 |       25.1805629 |       88.0333137
 414 |       26.5702697 |       89.0343779
 412 |       26.1613963 |       89.1912969
 409 |       26.3423016 |       89.1954205
 288 |       26.2327041 |       89.5725491
 563 |        23.726355 |       87.9887533
 158 |         23.56559 |       88.0272833
 157 |       23.7125167 |       88.0456067
 410 |       26.3088978 |       89.6579634
 444 |       25.6313315 |       88.1365673
 438 |       25.6676477 |       88.2310191
 442 |       25.6289599 |       88.3383296
 305 |       25.2146843 |       88.1886413
 683 |        26.079203 |       89.5807194
 408 |       26.1132295 |       89.4672697
 257 |       22.0459625 |       88.0576066
 255 |       22.1366334 |       88.0878288
 447 |       26.3180217 |       89.7504033
 066 |       22.6988059 |       88.6883542
 276 |       23.0215515 |       87.5787678
 271 |       23.1842833 |       87.1553024
 474 |       22.9369271 |        87.587107
 001 |       22.3589639 |       88.2928315
 619 |       22.3992062 |       88.2804315
 002 |       22.4299139 |       88.1560569
 592 |       22.4494079 |         88.30152
 453 |       22.3792473 |       88.2118817
 658 |       22.3590615 |       88.1419354
 195 |         23.25365 |       88.0925183
 141 |       23.1810892 |       88.0871139
 133 |       23.2650033 |       87.9845983
 484 |       22.1024349 |       87.8645126
 274 |       23.1491633 |       87.6337083
 703 |         23.19031 |       87.6085417
 289 |        22.888141 |       86.4833459
 016 |       22.3436141 |       88.5131817
 058 |       22.7638377 |       88.3635828
 419 |       26.7960479 |        89.020487
 466 |       22.5906444 |       87.9672368
 645 |       26.8553199 |       88.7468316
 299 |       23.2723378 |       86.3538292
 302 |       23.3443596 |       86.3693099
 286 |       23.3256911 |       86.1561758
 441 |       26.0271115 |       87.9455467
 090 |        22.912913 |       88.4040137
 092 |       22.8965348 |       88.4260861
 094 |       22.8988812 |        88.410728
 675 |       24.1394903 |       87.8650665
 439 |       26.2471105 |       88.1712303
 685 |       26.4164469 |       88.3735378
 443 |        26.075015 |        88.111275
 427 |        25.390118 |       88.3976889
 430 |       25.4076069 |       88.7562855
 085 |       22.5805181 |       88.9120806
 087 |       22.4578916 |       88.9857694
 189 |       23.9644053 |       87.7485402
 755 |        21.992408 |       88.2915095
 005 |       22.0870328 |       88.2543624
 185 |       23.7831807 |       87.6010503
 190 |       24.4225826 |       87.8614325
 004 |       22.1878665 |       88.1891559
 814 |       22.2542316 |       88.1741618
 556 |       22.2724749 |       88.0977936
 279 |       22.9229083 |         87.07705
 281 |       22.9931383 |         87.13074
 501 |       26.5559334 |       88.7193538
 596 |       26.9524189 |       88.7063303
 686 |       26.2922567 |         88.24228
 553 |       23.7034052 |        87.856029
 418 |         26.53799 |       88.6463083
 513 |       26.5721135 |        88.545812
 766 |       25.2781394 |        87.882456
 159 |       23.3768679 |       88.2356671
 139 |       23.3901723 |       88.1380619
 732 |        23.911215 |         87.95192
 440 |       25.4541359 |       88.1751494
 436 |       25.8411125 |       87.9290975
 733 |       25.3700433 |         88.46053
 170 |       23.7807967 |        86.867945
 168 |         23.70542 |       86.9532017
 171 |         23.61482 |       87.1444833
 531 |       23.6173683 |        87.112865
 169 |        23.682955 |       87.0016733
 313 |       24.9812834 |       88.1401401
 331 |       24.8046959 |       87.9891612
 540 |       23.7217184 |       86.8638529
 199 |        23.805255 |       86.9191433
 197 |       23.6721817 |       86.9573033
 196 |       23.6546684 |       86.9062522
 198 |       23.7583633 |       87.0215717
 338 |       23.9689633 |         87.96413
 720 |       23.7239498 |        87.430443
 132 |       23.4934248 |       87.7475019
 131 |       23.3436333 |       87.6821567
 135 |       23.4592517 |       87.9408883
 138 |        23.220735 |       87.7723767
 140 |       23.0165733 |       87.8564117
 145 |       23.1145597 |       87.8065918
 614 |       23.5721017 |       87.6028933
 561 |        23.410925 |       87.9973833
 152 |       23.2797371 |       88.2637308
 154 |       23.4064717 |       88.3471133
 155 |       23.1690666 |       88.2600027
 150 |       23.5195167 |       88.2564717
 153 |       23.2137917 |       88.3495783
 639 |       23.6235721 |       87.3297116
 215 |       22.1811817 |       87.3874667
 227 |       21.8298868 |       87.3588134
 225 |       22.0700753 |       87.3490597
 248 |       22.0808233 |       87.7097717
 580 |       21.9677271 |       87.4154392
 212 |        22.109815 |       87.2715833
 333 |        24.115584 |       87.9969228
 780 |       22.5177989 |       88.0597757
 465 |       22.5081197 |       87.9049319
 779 |       22.5689863 |       88.0748914
 262 |       23.4061717 |       87.1017983
 259 |       23.4432522 |       87.2918659
 747 |       23.2270847 |       87.0623561
 261 |       23.3201256 |       86.9494925
 267 |       23.5115717 |       87.1330753
 539 |       22.3547475 |       88.0671814
 078 |       22.8597783 |       88.7712133
 336 |        24.107335 |       88.2344667
 134 |        23.049075 |       87.9866283
 050 |       22.5715741 |         88.01494
 514 |       25.5293196 |       88.1470273
 298 |       23.5341407 |       86.6625482
 285 |       23.4910217 |       86.5646256
